project,p_freedom_iss,p_respect_iss,p_equity_iss,p_broad_iss,p_power_iss,p_enviro_iss,p_in_all,p_out_a0_1,p_out_a2_3,p_out_a4_8,p_out_a9up,month
MushroomObserver,,,,,,,0,,,,0,2018m3
MushroomObserver,0,0,0,0,0,0,0,,,,0,2018m4
MushroomObserver,0,0,0,0,0,0,0,,,1,0,2018m5
MushroomObserver,0,0,0,0,0,0,0,,,,0,2018m6
MushroomObserver,0,0,0,0,0,0,0,,,,0,2018m7
MushroomObserver,0,0,0,0,0,0,0,,,,0,2018m8
MushroomObserver,0,0,0,0,0,0,0,,,,0,2018m9
MushroomObserver,0,0,0,0,0,0,0,,,,0,2018m10
MushroomObserver,0,0,0,0,0,0,0,,,,0,2018m11
MushroomObserver,0,0,0,0,0,0,0,,,,0,2018m12
MushroomObserver,0,0,0,0,0,0,0,,,,0,2019m1
MushroomObserver,0,0,0,0,0,0,0,,,,0,2019m2
MushroomObserver,0,0,0,0,0,0,0,,,,0,2019m3
MushroomObserver,0,0,0,0,0,0,0,,,,0,2019m4
MushroomObserver,0,0,0,0,0,0,0,,,,0,2019m5
MushroomObserver,0,0,0,0,0,0,0,,,,0,2019m6
MushroomObserver,0,0,0,0,0,0,0,,,,0,2019m7
MushroomObserver,0,0,0,0,0,0,0,,,,0,2019m8
MushroomObserver,0,0,0,0,0,0,.25,1,,,0,2019m9
MushroomObserver,,,,,,,0,,,,0,2019m10
MushroomObserver,0,0,0,0,0,0,0,,,,0,2019m11
MushroomObserver,0,0,0,0,0,0,0,,,,0,2019m12
MushroomObserver,0,0,0,0,0,0,0,,,,0,2020m1
MushroomObserver,0,0,0,0,0,0,0,,,,0,2020m2
MushroomObserver,,,,,,,0,,,,0,2020m3
MushroomObserver,0,0,0,0,0,0,.2,0,,,0,2020m4
MushroomObserver,0,0,0,0,0,0,.1666666666666667,0,,,0,2020m5
MushroomObserver,0,0,0,0,0,0,0,,0,,0,2020m6
MushroomObserver,0,0,0,0,0,0,0,,0,,0,2020m7
MushroomObserver,0,0,0,.0714285714285714,0,0,0,,0,0,0,2020m8
MushroomObserver,0,0,0,0,0,0,0,,1,.5,0,2020m9
MushroomObserver,0,0,0,0,0,0,0,,,,0,2020m10
MushroomObserver,0,0,0,0,0,0,0,,,,0,2020m11
MushroomObserver,0,0,0,0,0,0,0,,,,0,2020m12
MushroomObserver,0,0,0,0,0,0,0,,,,0,2021m1
MushroomObserver,0,0,0,0,0,0,0,,,,0,2021m2
MushroomObserver,0,0,0,0,0,0,.25,1,,,0,2021m3
MushroomObserver,0,0,0,0,0,0,0,,,,0,2021m4
MushroomObserver,0,0,0,0,0,0,0,,,,0,2021m5
MushroomObserver,0,0,0,0,0,0,0,,,,0,2021m6
MushroomObserver,0,0,0,0,0,0,0,,,,0,2021m7
MushroomObserver,0,0,0,0,0,0,0,,,,0,2021m8
MushroomObserver,0,0,0,0,0,0,.25,0,,,0,2021m9
MushroomObserver,0,0,0,0,0,0,0,,,0,0,2021m10
MushroomObserver,0,.1428571428571428,0,0,0,0,0,,,0,0,2021m11
MushroomObserver,0,0,0,0,0,0,.2,1,1,,0,2021m12
OpenTechFund,0,0,0,0,0,0,0,,1,,0,2016m1
OpenTechFund,0,0,0,0,0,0,1,.6666666666666666,,,,2016m2
OpenTechFund,,,,,,,0,,,,,2016m3
OpenTechFund,0,0,0,0,0,0,1,1,,,,2016m5
OpenTechFund,0,0,0,0,0,0,.3333333333333333,1,0,,0,2016m9
OpenTechFund,0,0,0,0,0,0,.6666666666666666,1,,,1,2016m12
OpenTechFund,0,0,0,0,0,0,1,1,,,,2017m1
OpenTechFund,0,0,0,0,0,0,1,1,,,,2017m5
OpenTechFund,,,,,,,0,,0,,,2017m7
OpenTechFund,0,0,0,0,0,0,1,1,,,,2017m9
OpenTechFund,,,,,,,0,,0,,,2017m11
OpenTechFund,,,,,,,0,,0,,,2017m12
OpenTechFund,,,,,,,0,,,1,,2018m3
OpenTechFund,,,,,,,0,,,0,,2018m4
OpenTechFund,,,,,,,0,,,0,,2018m5
OpenTechFund,,,,,,,1,0,,,,2018m7
OpenTechFund,,,,,,,0,,,,,2018m8
OpenTechFund,,,,,,,0,,,0,,2018m9
OpenTechFund,,,,,,,0,,,0,,2018m10
OpenTechFund,,,,,,,0,,0,,,2018m11
OpenTechFund,0,0,0,0,0,0,.75,.3333333333333333,0,,,2019m1
OpenTechFund,0,0,0,0,0,0,0,,,0,,2019m2
OpenTechFund,0,0,0,0,0,0,0,,0,,0,2019m3
OpenTechFund,,,,,,,0,,0,,,2019m4
OpenTechFund,,,,,,,0,,,0,,2019m5
OpenTechFund,0,0,0,0,0,0,0,,0,0,0,2019m6
OpenTechFund,,,,,,,0,,,0,,2019m7
OpenTechFund,0,0,0,0,0,0,.5,1,,,1,2019m8
OpenTechFund,0,0,0,0,0,0,0,,,0,,2019m9
OpenTechFund,,,,,,,.5,0,,0,,2019m10
OpenTechFund,0,0,0,0,0,0,0,,0,,0,2019m11
OpenTechFund,,,,,,,0,,,0,0,2019m12
OpenTechFund,,,,,,,0,,,,0,2020m1
OpenTechFund,,,,,,,0,,,,0,2020m2
OpenTechFund,0,0,0,0,0,0,0,,,,0,2020m3
OpenTechFund,,,,,,,.5,0,,,0,2020m4
OpenTechFund,0,0,0,0,0,0,.6666666666666666,1,,,0,2020m5
OpenTechFund,,,,,,,0,,,0,0,2020m6
OpenTechFund,0,0,0,0,0,0,0,,,,0,2020m7
OpenTechFund,0,0,0,0,0,0,.5,1,1,,,2020m8
OpenTechFund,0,0,0,0,0,0,0,,,,0,2020m12
OpenTechFund,0,0,0,0,0,0,0,,1,,0,2021m1
OpenTechFund,0,0,0,0,0,0,0,,,,0,2021m2
OpenTechFund,0,0,0,0,0,0,0,,,,0,2021m3
OpenTechFund,.0833333333333333,0,0,0,0,0,.5,1,,,0,2021m4
OpenTechFund,0,0,0,0,0,0,0,,,0,0,2021m5
OpenTechFund,0,0,0,0,0,0,0,,,,0,2021m6
OpenTechFund,0,0,0,0,0,0,0,,,,.5,2021m7
OpenTechFund,0,0,0,0,0,0,0,,,,0,2021m8
OpenTechFund,0,0,0,0,0,0,.5,1,,,0,2021m9
OpenTechFund,,,,,,,0,,,,0,2021m11
OpenTechFund,,,,,,,0,,,,0,2021m12
abhidas17695,,,,,,,1,0,,,,2018m6
abhidas17695,0,0,0,0,0,0,.5,0,,,,2018m7
abhidas17695,0,0,0,0,0,0,0,,1,,,2018m8
abhidas17695,,,,,,,0,,1,,,2018m11
aletheia-foundation,,,,,,,1,0,,,,2016m12
aletheia-foundation,,,,,,,.5,0,,,,2017m1
aletheia-foundation,0,0,0,0,0,0,.3333333333333333,0,0,,,2017m2
aletheia-foundation,0,0,0,0,0,0,0,,.5,,,2017m3
aletheia-foundation,0,0,0,0,0,0,0,,0,,,2017m4
aletheia-foundation,0,0,0,0,0,0,.6,.6666666666666666,0,0,,2017m5
aletheia-foundation,0,0,0,0,0,0,.6,.3333333333333333,,0,,2017m6
aletheia-foundation,0,0,0,0,0,0,.4285714285714285,.3333333333333333,,0,,2017m7
aletheia-foundation,0,0,0,0,0,0,.2,0,1,0,,2017m8
aletheia-foundation,,,,,,,0,,,0,,2017m9
aletheia-foundation,0,0,0,0,0,0,.75,.5555555555555556,,0,0,2017m10
aletheia-foundation,0,0,0,0,0,0,.25,1,1,,0,2017m11
aletheia-foundation,0,0,0,0,0,0,.3333333333333333,1,0,,0,2017m12
aletheia-foundation,0,0,0,0,0,0,.25,0,0,,0,2018m1
aletheia-foundation,,,,,,,0,,0,,0,2018m2
aletheia-foundation,0,0,0,0,0,0,0,,,0,0,2018m3
aletheia-foundation,0,0,0,0,0,0,0,,,0,0,2018m4
aletheia-foundation,0,0,0,0,0,0,.4285714285714285,.6666666666666666,1,,0,2018m5
aletheia-foundation,0,0,0,0,0,0,.2,1,,1,0,2018m6
aletheia-foundation,,,,,,,0,,,,1,2018m7
aletheia-foundation,,,,,,,0,,,,0,2018m8
aletheia-foundation,0,0,0,0,0,0,1,1,,,,2018m9
aletheia-foundation,0,0,0,0,0,0,.6666666666666666,.5,,,0,2018m10
aletheia-foundation,,,,,,,.5,1,,,,2018m11
aletheia-foundation,,,,,,,0,,,,1,2019m11
aletheia-foundation,0,0,0,0,0,0,1,1,,,,2021m10
attic-labs,0,0,0,0,0,0,.25,.5,0,0,,2016m1
attic-labs,0,0,0,0,0,0,.2222222222222222,.5,,0,,2016m2
attic-labs,0,0,0,0,0,0,.3,.6666666666666666,,0,0,2016m3
attic-labs,0,0,0,0,0,0,.25,0,,0,0,2016m4
attic-labs,0,0,0,0,0,0,.1,1,0,0,0,2016m5
attic-labs,0,0,0,0,0,0,.3333333333333333,0,0,0,0,2016m6
attic-labs,0,0,0,.0035460992907801,0,0,.3125,.6,0,0,0,2016m7
attic-labs,0,0,0,0,0,0,.5172413793103449,.8666666666666667,0,0,0,2016m8
attic-labs,0,0,0,0,0,0,.3809523809523809,.625,0,0,0,2016m9
attic-labs,0,0,0,.0077519379844961,0,0,.3333333333333333,1,0,.5,0,2016m10
attic-labs,0,0,0,0,0,0,.2142857142857143,.6666666666666666,0,0,0,2016m11
attic-labs,0,0,0,0,0,0,.2142857142857143,.6666666666666666,0,0,0,2016m12
attic-labs,0,0,0,0,0,0,.2666666666666667,1,,0,0,2017m1
attic-labs,0,0,0,0,0,0,.2142857142857143,.3333333333333333,1,0,0,2017m2
attic-labs,0,0,0,0,0,0,.2666666666666667,1,1,1,.1428571428571428,2017m3
attic-labs,0,0,0,0,0,0,.2,.5,,0,0,2017m4
attic-labs,0,0,0,0,0,0,0,,0,,0,2017m5
attic-labs,0,0,0,0,0,0,.1428571428571428,0,,,0,2017m6
attic-labs,0,0,0,0,0,0,.1818181818181818,1,0,,0,2017m7
attic-labs,0,0,0,0,0,0,.2,1,0,,0,2017m8
attic-labs,0,0,0,0,0,0,.0769230769230769,1,,.5,.125,2017m9
attic-labs,0,0,0,0,0,0,.125,1,0,,.5,2017m10
attic-labs,0,0,0,0,0,0,.5,1,1,,0,2017m11
attic-labs,0,0,0,0,0,0,0,,,,0,2017m12
attic-labs,0,0,0,0,0,0,.4285714285714285,.3333333333333333,,,.6666666666666666,2018m1
attic-labs,0,0,0,0,0,0,0,,,,0,2018m2
attic-labs,0,0,0,0,0,0,.6666666666666666,0,,,0,2018m3
attic-labs,0,0,0,0,0,0,.25,0,,,0,2018m4
attic-labs,0,0,0,0,0,0,1,1,,,,2018m5
attic-labs,0,0,0,0,0,0,0,,.5,,0,2018m6
attic-labs,0,0,0,0,0,0,.3333333333333333,1,,,0,2018m8
attic-labs,,,,,,,0,,,,,2018m9
attic-labs,0,0,0,0,0,0,.5,0,1,,,2018m10
attic-labs,0,0,0,0,0,0,.5,1,,,0,2018m11
attic-labs,0,0,0,0,0,0,1,1,,,,2018m12
attic-labs,0,0,0,0,0,0,.3333333333333333,1,,,0,2019m1
attic-labs,0,0,0,0,0,0,.5,1,1,,0,2019m2
attic-labs,0,0,0,0,0,0,.3333333333333333,1,1,,0,2019m3
attic-labs,0,0,0,0,0,0,0,,,,0,2019m4
attic-labs,0,0,0,0,0,0,.6666666666666666,1,,,0,2019m5
attic-labs,0,0,0,0,0,0,.5,1,,,0,2019m6
attic-labs,0,0,0,0,0,0,.25,1,,,0,2019m7
attic-labs,,,,,,,0,,,,0,2019m8
attic-labs,0,0,0,0,0,0,.3333333333333333,1,1,,0,2019m9
attic-labs,,,,,,,.5,1,,,0,2019m10
attic-labs,0,0,0,0,0,0,.5,1,,,0,2019m11
attic-labs,0,0,0,0,0,0,0,,,,0,2019m12
attic-labs,0,0,0,0,0,0,.6666666666666666,.5,,,0,2020m3
attic-labs,0,0,0,0,0,0,0,,,0,.5,2020m4
attic-labs,0,0,0,0,0,0,1,1,,,,2020m5
attic-labs,0,0,0,0,0,0,.3333333333333333,1,,,0,2020m6
attic-labs,,,,,,,1,1,,,,2020m12
attic-labs,0,0,0,0,0,0,.5,1,,1,0,2021m2
attic-labs,0,0,0,0,0,0,.5,1,,,0,2021m3
attic-labs,,,,,,,0,,,,0,2021m4
attic-labs,,,,,,,0,,,,1,2021m8
blockchain-certificates,,,,,,,0,,,0,,2016m1
blockchain-certificates,0,0,0,0,0,0,0,,,0,,2016m2
blockchain-certificates,,,,,,,0,,,0,,2016m3
blockchain-certificates,0,0,0,0,0,0,.5,0,,0,,2016m4
blockchain-certificates,0,0,0,0,0,0,.5,.5,,,0,2016m5
blockchain-certificates,0,0,0,0,0,0,.6,.6666666666666666,0,,1,2016m6
blockchain-certificates,0,0,0,0,0,0,0,,0,,,2016m7
blockchain-certificates,0,0,0,0,0,0,.5,0,,0,,2016m8
blockchain-certificates,0,0,0,0,0,0,.2,1,,0,,2016m9
blockchain-certificates,0,0,0,0,0,0,0,,0,0,,2016m10
blockchain-certificates,0,0,0,0,0,0,.3333333333333333,1,0,0,,2016m11
blockchain-certificates,0,0,0,0,0,0,.6,.6666666666666666,,0,,2016m12
blockchain-certificates,0,0,0,0,0,0,.3333333333333333,1,,0,0,2017m1
blockchain-certificates,0,0,0,0,0,0,.6666666666666666,0,,0,,2017m2
blockchain-certificates,0,0,0,0,0,0,.7142857142857143,.4,,0,0,2017m3
blockchain-certificates,0,0,0,0,0,0,.4545454545454545,.2,,0,0,2017m4
blockchain-certificates,0,0,0,0,0,0,.3,.3333333333333333,0,,0,2017m5
blockchain-certificates,0,0,0,0,0,0,.125,1,.3333333333333333,,0,2017m6
blockchain-certificates,0,0,0,0,0,0,.3333333333333333,.6666666666666666,.5,1,0,2017m7
blockchain-certificates,0,0,0,0,0,0,.4,.5,,1,0,2017m8
blockchain-certificates,0,0,0,0,0,0,.2857142857142857,.5,,,0,2017m9
blockchain-certificates,0,0,0,0,0,0,.7,.7142857142857143,1,,0,2017m10
blockchain-certificates,0,0,0,0,0,0,.1666666666666667,1,0,,0,2017m11
blockchain-certificates,0,0,0,0,0,0,.5,1,,,0,2017m12
blockchain-certificates,0,0,0,0,0,0,.5555555555555556,.6,1,,.5,2018m1
blockchain-certificates,0,0,0,0,0,0,.3333333333333333,1,0,,0,2018m2
blockchain-certificates,0,0,0,0,0,0,.4545454545454545,1,.25,,0,2018m3
blockchain-certificates,0,0,0,0,0,0,.625,.2,.5,,0,2018m4
blockchain-certificates,0,0,0,0,0,0,.6923076923076923,.5555555555555556,,0,0,2018m5
blockchain-certificates,0,0,0,0,0,0,.5,.3333333333333333,1,0,,2018m6
blockchain-certificates,0,0,0,0,0,0,.3,.3333333333333333,0,0,0,2018m7
blockchain-certificates,0,0,0,0,0,0,.2857142857142857,1,0,0,,2018m8
blockchain-certificates,0,0,0,0,0,0,.6875,.3636363636363636,0,0,0,2018m9
blockchain-certificates,0,0,0,0,0,0,.4,.3333333333333333,0,0,0,2018m10
blockchain-certificates,0,0,0,0,0,0,0,,0,0,,2018m11
blockchain-certificates,0,0,0,0,0,0,.4285714285714285,.8333333333333334,0,0,0,2018m12
blockchain-certificates,0,0,0,0,0,0,.1818181818181818,.5,0,0,0,2019m1
blockchain-certificates,0,0,0,0,0,0,.4210526315789473,.375,.3333333333333333,.3333333333333333,.3333333333333333,2019m2
blockchain-certificates,0,0,0,0,0,0,0,,0,0,0,2019m3
blockchain-certificates,0,0,0,0,0,0,.25,.75,0,0,0,2019m4
blockchain-certificates,0,0,0,0,0,0,.3076923076923077,1,.25,0,0,2019m5
blockchain-certificates,0,0,0,0,0,0,.2,0,,0,0,2019m6
